timestamp_ns,x,y,z,roll_rad,pitch_rad,yaw_rad,vx,vy,vz
1784107800000315808,-1.043401,-1.116904,-0.000120,0.000327,-0.003478,-0.381162,0.000000,0.000000,0.000000
1784107800009631895,-1.043917,-1.117207,0.000927,0.002284,0.003691,-0.380854,-0.051594,-0.030269,0.104665
1784107800019222965,-1.045151,-1.115862,-0.000024,0.003238,-0.003117,-0.380545,-0.123338,0.134460,-0.095114
1784107800030226132,-1.045526,-1.117238,0.000163,-0.004006,0.001212,-0.380236,-0.037569,-0.137560,0.018790
1784107800039709815,-1.046509,-1.116162,0.000437,0.000834,0.000103,-0.379927,-0.098208,0.107596,0.027346
1784107800049977272,-1.047856,-1.116459,-0.000433,0.001772,-0.000757,-0.379618,-0.134731,-0.029674,-0.087024
1784107800059154344,-1.047445,-1.114904,0.000257,-0.002897,0.000799,-0.379309,0.041087,0.155511,0.069022
1784107800070310672,-1.048540,-1.115647,-0.000539,0.001455,-0.000896,-0.379000,-0.109468,-0.074398,-0.079635
1784107800079703664,-1.049729,-1.115086,0.000831,-0.001503,-0.005247,-0.378690,-0.118949,0.056126,0.137012
1784107800090001183,-1.050225,-1.114523,-0.000035,-0.000140,0.001838,-0.378380,-0.049563,0.056327,-0.086528
1784107800099578401,-1.050886,-1.114627,0.000340,0.002045,-0.001641,-0.378071,-0.066155,-0.010385,0.037507
1784107800109945549,-1.052263,-1.113882,0.000400,-0.000743,0.000828,-0.377761,-0.137705,0.074431,0.005964
1784107800119359299,-1.052266,-1.113987,-0.000035,-0.002097,0.001556,-0.377451,-0.000219,-0.010491,-0.043489
1784107800130265697,-1.053246,-1.114820,-0.000648,0.000738,-0.002242,-0.377141,-0.098016,-0.083242,-0.061299
1784107800140499027,-1.054177,-1.113702,-0.000508,0.002241,-0.001919,-0.376830,-0.093150,0.111739,0.013982
1784107800149413292,-1.054619,-1.112489,-0.000743,-0.001149,0.001791,-0.376520,-0.044128,0.121328,-0.023540
1784107800159897859,-1.055151,-1.113721,-0.000780,-0.000675,0.001489,-0.376209,-0.053214,-0.123145,-0.003641
1784107800170738387,-1.056151,-1.113222,0.000107,0.001505,0.001794,-0.375899,-0.100039,0.049829,0.088662
1784107800179634648,-1.056852,-1.111274,-0.000383,-0.001067,0.002719,-0.375588,-0.070109,0.194793,-0.048993
1784107800190282363,-1.057901,-1.112134,0.000231,-0.001380,0.000687,-0.375277,-0.104850,-0.085957,0.061457
1784107800200012740,-1.059540,-1.112465,0.000288,-0.003315,-0.001367,-0.374966,-0.163910,-0.033100,0.005655
1784107800209872576,-1.059933,-1.111953,-0.000177,0.000106,0.000971,-0.374655,-0.039362,0.051184,-0.046530
1784107800220066165,-1.061016,-1.111242,0.000442,0.001242,0.001553,-0.374344,-0.108279,0.071154,0.061933
1784107800230621496,-1.061671,-1.111627,0.000212,-0.000469,-0.000685,-0.374032,-0.065509,-0.038558,-0.023014
1784107800240259358,-1.062478,-1.110575,-0.000239,0.000096,-0.000180,-0.373721,-0.080711,0.105196,-0.045043
1784107800249807367,-1.063066,-1.110819,0.000006,-0.003085,-0.000522,-0.373409,-0.058717,-0.024332,0.024495
1784107800259924606,-1.064187,-1.109810,0.000361,0.001752,0.002118,-0.373097,-0.112160,0.100801,0.035455
